title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
The Legend of Heroes: Trails of Cold Steel II    ,PS3,0.22,0.05,0.04,0.11,0.02
Just Dance 2016    ,PS3,0.22,0.12,0.06,N/A,0.04
Duel Masters: Kaijudo Showdown    ,GBA,0.22,0.16,0.06,N/A,0.00
Worms: Battle Islands    ,Wii,0.22,0.10,0.10,N/A,0.02
Sumikko Gurashi: Mura o Tsukurundesu    ,3DS,0.22,N/A,N/A,0.22,N/A
Dragon Quest Builders: Revive Alefgard    ,NS,0.22,0.07,0.07,0.07,0.01
The Lord of the Rings: The Third Age    ,GBA,0.22,0.16,0.06,N/A,0.00
Kidz Bop Dance Party! The Video Game    ,Wii,0.22,0.20,N/A,N/A,0.02
Karaoke Revolution Glee 2: Road to Regionals    ,Wii,0.22,0.14,0.06,N/A,0.02
Deadpool    ,XOne,0.22,0.17,0.03,N/A,0.02
The Suffering    ,XB,0.22,0.16,0.05,N/A,0.01
Tetris Worlds    ,GC,0.22,0.17,0.04,N/A,0.01
Chou-Kuukan Night Pro Yakyuu King(higher JP sales)    ,N64,0.22,N/A,N/A,0.22,0.00
ECW Hardcore Revolution    ,N64,0.22,0.18,0.04,N/A,0.00
Mega Man 64    ,N64,0.22,0.14,0.03,0.05,0.00
Ms. Pac-Man: Maze Madness    ,N64,0.22,0.18,0.04,N/A,0.00
Rampage 2: Universal Tour    ,N64,0.22,0.18,0.04,N/A,0.00
NBA Live 09 All-Play    ,Wii,0.22,0.19,0.02,N/A,0.02
Tales of Graces    ,Wii,0.22,N/A,N/A,0.22,N/A
The Amazing Spider-Man 2 (2014)    ,XOne,0.22,0.12,0.08,N/A,0.02
All Star Karate    ,Wii,0.22,0.13,0.07,N/A,0.02
Viewtiful Joe 2    ,GC,0.22,0.17,0.04,N/A,0.01
Jackass the Game    ,PSP,0.22,0.09,0.08,N/A,0.05
The Legend of Heroes: Trails in the Sky FC    ,PSP,0.22,0.10,0.03,0.06,0.03
Naruto Shippuuden: Ninja Council 4    ,DS,0.22,0.08,N/A,0.13,0.01
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive    ,PS2,0.22,0.11,0.08,N/A,0.03
Kingdom Come: Deliverance    ,XOne,0.22,0.14,0.06,N/A,0.02
Dragon Ball: Origins (JP & incomplete US sales)    ,DS,0.22,0.04,N/A,0.17,0.00
Touch the Dead    ,DS,0.22,0.20,0.00,N/A,0.02
Marvel Super Hero Squad: The Infinity Gauntlet    ,DS,0.22,0.17,0.03,N/A,0.02
NBA Jam Extreme    ,PS,0.22,0.12,0.08,N/A,0.01
Bladestorm: Nightmare    ,PS4,0.22,0.11,0.04,0.03,0.03
Aliens vs Predator: Requiem    ,PSP,0.22,0.03,0.12,N/A,0.07
WipeOut 3 The Game    ,X360,0.22,0.20,N/A,N/A,0.02
Ragnarok DS    ,DS,0.22,0.10,N/A,0.11,0.01
The Witch and the Hundred Knight    ,PS3,0.22,0.08,0.02,0.10,0.02
ATV Quad Kings    ,Wii,0.22,0.20,N/A,N/A,0.01
Nickelodeon Party Blast    ,XB,0.22,0.16,0.05,N/A,0.01
NHL Championship 2000    ,PS,0.22,0.12,0.08,N/A,0.01
Transformers: Dark of the Moon    ,3DS,0.22,0.16,0.04,N/A,0.02
LEGO Harry Potter: Years 5-7    ,PC,0.22,0.05,0.15,N/A,0.03
ShellShock: Nam '67    ,XB,0.22,0.16,0.05,N/A,0.01
Kartia: The Word of Fate    ,PS,0.22,0.05,0.03,0.12,0.01
CSI: Fatal Conspiracy    ,Wii,0.22,0.12,0.08,N/A,0.02
The Bureau: XCOM Declassified    ,X360,0.22,0.10,0.10,N/A,0.02
LEGO Harry Potter Collection     ,XOne,0.22,0.14,0.06,N/A,0.02
All-Star Baseball 2002    ,GC,0.22,0.17,0.04,N/A,0.01
Deadly Creatures    ,Wii,0.22,0.08,0.12,N/A,0.02
Magna Carta: Tears of Blood    ,PS2,0.22,0.11,0.08,N/A,0.03
Pinball Hall of Fame: The Williams Collection    ,PS3,0.22,0.20,N/A,N/A,0.02
Lethal Skies Elite Pilot: Team SW    ,PS2,0.22,0.11,0.08,N/A,0.03
Zombie Army Trilogy    ,PS4,0.22,0.06,0.13,N/A,0.03
Shin Megami Tensei: Persona    ,PSP,0.22,0.08,N/A,0.13,0.01
Capcom vs. SNK    ,DC,0.22,N/A,N/A,0.22,N/A
Return to PopoloCrois: A Story of Seasons Fairytale    ,3DS,0.22,0.09,N/A,0.11,0.01
Tamagotchi no KiraKira Omisecchi    ,DS,0.22,N/A,N/A,0.22,N/A
From Russia With Love    ,GC,0.22,0.17,0.04,N/A,0.01
Lords of the Fallen    ,XOne,0.22,0.10,0.10,N/A,0.02
Hitman 2    ,XOne,0.22,0.14,0.06,N/A,0.02
Outlast Trinity    ,PS4,0.22,0.09,0.09,N/A,0.04
Guitar Hero: Smash Hits    ,PS2,0.22,0.11,0.01,N/A,0.10
NCAA Basketball 09    ,X360,0.22,0.20,N/A,N/A,0.02
Risen 2: Dark Waters    ,PC,0.22,N/A,0.19,N/A,0.03
NFL Quarterback Club 2002    ,PS2,0.22,0.11,0.08,N/A,0.03
Yu-Gi-Oh! GX: Spirit Caller (American Sales)    ,DS,0.22,0.18,0.03,N/A,0.02
Danganronpa Another Episode: Ultra Despair Girls    ,PSV,0.22,0.06,0.01,0.12,0.02
Kirby's Star Stacker    ,GB,0.22,N/A,N/A,0.22,N/A
Puss in Boots    ,Wii,0.22,0.19,0.02,N/A,0.02
Ben 10 Alien Force: Vilgax Attacks    ,X360,0.22,0.11,0.09,N/A,0.02
Judgment     ,PS4,0.22,N/A,N/A,0.22,N/A
Imagine: Detective    ,DS,0.22,0.14,0.01,N/A,0.06
Growlanser: Heritage of War    ,PS2,0.22,0.11,0.08,N/A,0.03
Tropico 3    ,X360,0.22,0.15,0.02,0.03,0.01
Rugby 2004    ,PS2,0.22,0.11,0.08,N/A,0.03
Disney's Magical Quest Starring Mickey and Minnie    ,GBA,0.22,0.16,0.06,N/A,0.00
Hasbro Family Game Night    ,DS,0.22,0.01,0.19,N/A,0.02
KORG DS-10 Synthesizer    ,DS,0.22,0.19,0.01,N/A,0.02
NBA 06    ,PSP,0.22,0.20,N/A,N/A,0.02
Warriors  Orochi 4    ,PS4,0.22,0.05,N/A,0.16,0.01
Naruto: Ninja Council    ,GBA,0.22,0.16,0.06,N/A,0.00
DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana    ,DS,0.22,N/A,N/A,0.22,N/A
Wreckless: ThE YaKuza MisSiOns    ,PS2,0.22,0.11,0.08,N/A,0.03
Jikkyou Powerful Major League    ,PS2,0.22,N/A,N/A,0.22,N/A
NFL 2K3    ,GC,0.22,0.17,0.04,N/A,0.01
Hidden Mysteries: Buckingham Palace    ,DS,0.22,0.13,0.07,N/A,0.02
Disgaea D2    ,PS3,0.22,0.09,0.00,0.10,0.02
Saltwater Sportfishing    ,PS,0.22,0.12,0.08,N/A,0.01
Yoshi Touch & Go (JP sales)    ,DS,0.22,N/A,N/A,0.22,N/A
Samurai Jack: The Amulet of Time    ,GBA,0.22,0.16,0.06,N/A,0.00
MySims Party    ,Wii,0.22,0.17,0.03,N/A,0.02
J-League Winning Eleven 2008: Club Championship    ,PS2,0.22,N/A,N/A,0.22,N/A
Jackie Chan: Stuntmaster    ,PS,0.22,0.12,0.08,N/A,0.01
Sports Car GT    ,PS,0.22,0.12,0.08,N/A,0.01
Big League Sports     ,X360,0.22,0.18,0.02,N/A,0.02
Full Auto    ,X360,0.22,0.19,0.01,N/A,0.02
Hunted: The Demon's Forge    ,X360,0.22,0.13,0.07,0.00,0.02
Afrika    ,PS3,0.22,0.12,0.00,0.08,0.01
Scooby-Doo! Mystery Mayhem    ,GC,0.22,0.17,0.04,N/A,0.01
Kanzen Chuuki Pro Yakyuu Greatest Nine    ,SAT,0.22,N/A,N/A,0.22,N/A
Dead Island    ,PC,0.22,0.12,0.07,N/A,0.02
American Idol    ,GBA,0.22,0.15,0.06,N/A,0.00
Summer Athletics: The Ultimate Challenge (Others sales)    ,Wii,0.22,N/A,0.20,N/A,0.01
Britney's Dance Beat    ,GBA,0.22,0.15,0.06,N/A,0.00
Pass the Pigs    ,DS,0.22,0.20,N/A,N/A,0.02
Shrek Superslam    ,GC,0.22,0.17,0.04,N/A,0.01
Sailor Moon    ,SNES,0.22,N/A,N/A,0.22,0.00
WipeOut 3 The Game    ,3DS,0.22,0.19,N/A,N/A,0.02
G.I. Joe: The Rise of Cobra    ,Wii,0.22,0.17,0.03,N/A,0.02
Harry Potter and the Deathly Hallows - Part 2    ,DS,0.22,0.10,0.09,N/A,0.02
Herdy Gerdy    ,PS2,0.22,0.11,0.08,N/A,0.03
Super Lucky's Tale    ,XOne,0.22,0.13,0.07,N/A,0.02
Jewel Quest: Expeditions    ,DS,0.22,0.03,0.17,N/A,0.01
Dai-2-Ji Super Robot Taisen OG    ,PS3,0.22,N/A,N/A,0.22,N/A
Evolve    ,PC,0.22,0.10,0.10,N/A,0.02
Armored Core V    ,X360,0.22,0.13,0.03,0.04,0.01
Digimon World Re:Digitize    ,PSP,0.22,N/A,N/A,0.22,N/A
UFC Personal Trainer: The Ultimate Fitness System    ,PS3,0.22,0.10,0.08,N/A,0.03
Over G Fighters    ,X360,0.22,0.19,0.01,N/A,0.02
NBA In The Zone 2000    ,PS,0.21,0.12,0.08,N/A,0.01
Dark Summit    ,PS2,0.21,0.11,0.08,N/A,0.03
Football Manager 2018    ,PC,0.21,N/A,0.20,N/A,0.01
Anarchy Reigns    ,PS3,0.21,0.10,0.03,0.06,0.03
Cabela's Big Game Hunter: Ultimate Challenge    ,PS,0.21,0.12,0.08,N/A,0.01
DiRT Rally    ,XOne,0.21,0.12,0.08,N/A,0.02
Magician's Quest: Town of Magic    ,3DS,0.21,N/A,N/A,0.21,N/A
Rampage: Total Destruction    ,Wii,0.21,0.19,0.01,N/A,0.02
TRON: Evolution - Battle Grids    ,Wii,0.21,0.17,0.03,N/A,0.01
The Dukes of Hazzard: Return of the General Lee    ,PS2,0.21,0.11,0.08,N/A,0.03
UFC Undisputed 2010    ,PSP,0.21,0.11,0.07,N/A,0.04
Pandemonium!    ,PS,0.21,0.12,0.08,N/A,0.01
Petz Rescue: Wildlife Vet    ,Wii,0.21,0.20,0.00,N/A,0.02
Namco Museum: 50th Anniversary    ,GC,0.21,0.17,0.04,N/A,0.01
Crash 'N' Burn    ,PS2,0.21,0.11,0.08,N/A,0.03
EVE: Valkyrie    ,PS4,0.21,0.11,0.06,N/A,0.04
MLB 10: The Show    ,PSP,0.21,0.19,N/A,N/A,0.02
NBA    ,PSP,0.21,0.20,N/A,N/A,0.02
Teenage Mutant Ninja Turtles: Smash-Up    ,PS2,0.21,0.11,0.08,N/A,0.03
Pro Yakyuu Greatest Nine '97    ,SAT,0.21,N/A,N/A,0.21,N/A
Atelier Escha & Logy: Alchemists of the Dusk Sky    ,PS3,0.21,0.06,0.03,0.10,0.02
Lunar: Silver Star Story Complete    ,SAT,0.21,N/A,N/A,0.21,0.00
Dorabase DS: Dramatic Stadium    ,DS,0.21,N/A,N/A,0.21,N/A
Star Trek: The Game    ,X360,0.21,0.12,0.08,N/A,0.02
Disaster Report    ,PS2,0.21,0.03,0.02,0.15,0.01
EVE: burst error    ,SAT,0.21,N/A,N/A,0.21,N/A
Heroes of Ruin    ,3DS,0.21,0.13,0.07,N/A,0.02
Backyard NFL Football '09    ,Wii,0.21,0.20,N/A,N/A,0.02
Now! That's What I Call Music: Dance & Sing    ,Wii,0.21,N/A,0.18,N/A,0.03
College Hoops 2K7    ,X360,0.21,0.20,N/A,N/A,0.02
NCAA March Madness 08    ,X360,0.21,0.20,N/A,N/A,0.02
Speed Racer: The Videogame    ,PS2,0.21,0.10,0.08,N/A,0.03
Nintendo Presents: Crossword Collection    ,DS,0.21,N/A,0.19,N/A,0.02
Bratz: Forever Diamondz    ,GC,0.21,0.17,0.04,N/A,0.01
WCW Backstage Assault    ,PS,0.21,0.12,0.08,N/A,0.01
SingStar Pop Edition    ,PS3,0.21,N/A,0.19,N/A,0.03
The Legend of Heroes: Trails of Cold Steel    ,PS3,0.21,0.06,0.02,0.12,0.02
Wild Wild Racing    ,PS2,0.21,0.10,0.08,N/A,0.03
The Bard's Tale    ,PS2,0.21,0.10,0.08,N/A,0.03
The Magic School Bus: Oceans    ,DS,0.21,0.20,N/A,N/A,0.02
Hannah Montana: The Movie    ,X360,0.21,0.14,0.05,N/A,0.02
Momotarou Dentetsu 16    ,PS2,0.21,N/A,N/A,0.21,N/A
Senran Kagura: Peach Beach Splash    ,PS4,0.21,0.09,0.02,0.08,0.02
Robotech: The Macross Saga    ,GBA,0.21,0.15,0.06,N/A,0.00
Yu Yu Hakusho: Dark Tournament    ,PS2,0.21,0.10,0.08,N/A,0.03
MTV Celebrity Deathmatch    ,XB,0.21,0.16,0.05,N/A,0.01
Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack    ,PS3,0.21,N/A,N/A,0.21,N/A
SBK X: Superbike World Championship    ,PS3,0.21,0.05,0.13,N/A,0.04
Ys VIII: Lacrimosa of Dana    ,PS4,0.21,0.08,0.04,0.08,0.02
Lost Planet 3    ,PS3,0.21,0.07,0.05,0.06,0.03
Petz: Horse Club    ,Wii,0.21,0.20,N/A,N/A,0.02
Conflict Zone    ,PS2,0.21,0.10,0.08,N/A,0.03
Hitman: HD Trilogy    ,PS3,0.21,0.07,0.10,N/A,0.03
Madden NFL 07    ,DS,0.21,0.20,0.00,N/A,0.02
High School Musical 3: Senior Year DANCE!    ,X360,0.21,0.19,0.00,N/A,0.02
Tom Clancy's Splinter Cell: Blacklist    ,PC,0.21,0.06,0.14,N/A,0.02
Yoostar2    ,X360,0.21,0.11,0.09,N/A,0.02
BloodRayne    ,XB,0.21,0.16,0.05,N/A,0.01
Just Dance 2018    ,XOne,0.21,0.15,0.04,N/A,0.02
Where's Waldo? The Fantastic Journey    ,DS,0.21,0.20,N/A,N/A,0.02
The Con    ,PSP,0.21,0.19,0.00,N/A,0.02
NHL 2K6    ,XB,0.21,0.16,0.05,N/A,0.01
Marvel Super Hero Squad    ,PSP,0.21,0.17,0.02,N/A,0.02
Homefront: The Revolution    ,XOne,0.21,0.10,0.09,N/A,0.02
Tenchu: Return From Darkness    ,XB,0.21,0.16,0.05,N/A,0.01
World Poker Tour    ,PS2,0.21,0.10,0.08,N/A,0.03
Neo Contra    ,PS2,0.21,0.10,0.08,N/A,0.03
Tony Hawk's American Sk8land    ,DS,0.21,0.19,0.01,N/A,0.02
MVP Baseball    ,PSP,0.21,0.20,N/A,N/A,0.02
Bound By Flame    ,PS4,0.21,0.08,0.09,N/A,0.04
Hasbro Family Game Night 3    ,X360,0.21,0.17,0.03,N/A,0.02
Breakaway IV    ,2600,0.21,0.20,0.01,N/A,0.00
Ghostbusters II    ,2600,0.21,0.20,0.01,N/A,0.00
RealSports Baseball    ,2600,0.21,0.20,0.01,N/A,0.00
Fate/Extella: The Umbral Star    ,NS,0.21,0.10,0.06,0.04,0.02
Prince of Persia: Revelations    ,PSP,0.21,0.18,0.01,N/A,0.02
Imagine: Boutique Owner    ,DS,0.21,0.20,0.00,N/A,0.01
Radiant Historia: Perfect Chronology    ,3DS,0.21,0.11,0.03,0.06,0.01
The BIGS 2    ,X360,0.21,0.19,0.01,N/A,0.02
Frogger 3D    ,3DS,0.21,0.16,0.04,N/A,0.02
50 Cent: Blood on the Sand    ,X360,0.21,0.12,0.07,0.00,0.02
Viewtiful Joe 2    ,PS2,0.21,0.10,0.08,N/A,0.03
Quake III: Revolution     ,PS2,0.21,0.10,0.08,N/A,0.03
Pac-Man World 3    ,PS2,0.21,0.10,0.08,N/A,0.03
Bass Pro Shops: The Strike    ,X360,0.21,0.20,N/A,N/A,0.02
Naruto: Clash of Ninja (JP sales)    ,GC,0.21,N/A,N/A,0.21,0.01
Robotech: Battlecry    ,XB,0.21,0.16,0.05,N/A,0.01
NOëL: NOT DiGITAL    ,PS,0.21,N/A,N/A,0.20,0.01
Dragon Ball Z Hyper Dimension    ,SNES,0.21,N/A,N/A,0.21,N/A
FIFA 16    ,PC,0.21,0.07,0.13,N/A,0.02
Pro Evolution Soccer 2012    ,Wii,0.21,0.08,0.08,0.03,0.02
HBO Boxing    ,PS,0.21,0.12,0.08,N/A,0.01
Cursed Mountain    ,Wii,0.21,0.09,0.10,N/A,0.02
Darkwatch    ,XB,0.21,0.16,0.05,N/A,0.01
Move Fitness    ,PS3,0.21,N/A,0.17,N/A,0.04
Ninja Gaiden: Dragon Sword    ,DS,0.21,0.16,0.01,0.02,0.02
Bratz: Girlz Really Rock    ,Wii,0.21,0.19,0.00,N/A,0.02
de Blob 2    ,PS3,0.21,0.11,0.07,N/A,0.03
The Chronicles of Narnia: Prince Caspian    ,DS,0.21,0.19,0.01,N/A,0.02
A Boy and His Blob    ,Wii,0.21,0.18,0.01,N/A,0.02
Front Mission 5: Scars of the War    ,PS2,0.21,N/A,N/A,0.21,N/A
Tekken 3D: Prime Edition    ,3DS,0.21,0.06,0.08,0.05,0.01
Maximo vs Army of Zin    ,PS2,0.21,0.10,0.08,N/A,0.03
The Fairly OddParents: Breakin' Da Rules    ,GC,0.21,0.16,0.04,N/A,0.01
The Legend of Spyro: The Eternal Night    ,Wii,0.21,0.18,0.02,N/A,0.02
Age of Empires: Mythologies    ,DS,0.21,0.16,0.03,N/A,0.02
Order Up!    ,Wii,0.21,0.19,0.01,N/A,0.02
Summoner 2    ,PS2,0.21,0.10,0.08,N/A,0.03
The Land Before Time: Big Water Adventure    ,PS,0.21,0.12,0.08,N/A,0.01
You Don't Know Jack    ,Wii,0.21,0.19,N/A,N/A,0.02
Project Versus J    ,PSV,0.21,N/A,0.03,0.17,0.01
Shadow of Destiny    ,PS2,0.21,0.09,0.07,0.03,0.02
Brunswick Pro Bowling    ,PSP,0.21,0.19,N/A,N/A,0.02
Valkyria Chronicles III: Unrecorded Chronicles    ,PSP,0.21,N/A,N/A,0.21,N/A
Cabela's Deer Hunt: 2004 Season    ,XB,0.21,0.16,0.05,N/A,0.01
The Sims 4: Cats & Dogs    ,PC,0.21,N/A,0.20,N/A,0.01
Baja: Edge of Control    ,PS3,0.21,0.10,0.08,N/A,0.03
Fallout 76    ,PC,0.21,0.12,0.07,N/A,0.02
ClayFighter 63 1/3    ,N64,0.21,0.17,0.04,N/A,0.00
Cruis'n Exotica    ,N64,0.21,0.17,0.04,N/A,0.00
Gex 3: Deep Cover Gecko    ,N64,0.21,0.17,0.04,N/A,0.00
Monopoly    ,N64,0.21,0.17,0.04,N/A,0.00
WCW Nitro    ,N64,0.21,0.17,0.04,N/A,0.00
WinBack: Covert Operations    ,N64,0.21,0.17,0.04,N/A,0.00
SBK Superbike World Championship    ,X360,0.21,0.06,0.14,N/A,0.01
NBA Live 16    ,PS4,0.21,0.13,0.05,N/A,0.04
Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus    ,DS,0.21,0.10,0.03,0.07,0.01
Disney's Planes    ,DS,0.21,0.11,0.09,N/A,0.02
Bastard!! Utsuro Naru Kamigami no Utsuwa    ,PS,0.21,N/A,N/A,0.20,0.01
G.I. Joe: The Rise of Cobra    ,PS3,0.21,0.11,0.07,N/A,0.03
The King of Fighters '96    ,SAT,0.21,N/A,N/A,0.21,0.00
Bionicle    ,GC,0.21,0.16,0.04,N/A,0.01
LEGO The Lord of the Rings    ,PC,0.21,0.07,0.13,N/A,0.02
Conan Exiles    ,PS4,0.21,0.05,0.05,0.09,0.02
Angel Blade: Neo Tokyo Guardians    ,PS,0.21,0.12,0.08,N/A,0.01
Threads of Fate    ,PS,0.21,0.12,0.08,N/A,0.01
World Series of Poker    ,PSP,0.21,0.19,0.00,N/A,0.02
PoPoLoCrois Monogatari II    ,PS,0.21,N/A,N/A,0.20,0.01
Vampire Rain    ,X360,0.21,0.18,0.00,0.01,0.02
Famicom Mini: Ganbare Goemon! Karakuri Douchuu    ,GBA,0.21,N/A,N/A,0.20,0.01
Rayman Raving Rabbids    ,X360,0.21,0.18,0.01,N/A,0.02
The Amazing Spider-Man (2012)    ,3DS,0.21,0.16,0.03,N/A,0.02
Deus Ex: The Conspiracy    ,PS2,0.21,0.10,0.08,N/A,0.03
Unreal II: The Awakening    ,XB,0.21,0.17,0.04,N/A,0.01
Rumble Racing    ,PS2,0.21,0.10,0.08,N/A,0.03
Spider-Man: Web of Shadows    ,PS2,0.21,0.10,0.08,N/A,0.03
Batman Begins    ,XB,0.21,0.16,0.04,N/A,0.01
Guilty Gear Xrd: Sign    ,PS3,0.21,0.11,N/A,0.07,0.03
State of Decay: Year One Survival Edition    ,XOne,0.21,0.14,0.05,N/A,0.02
DEFIANCE    ,PC,0.21,0.14,0.04,N/A,0.02
J-League Winning Eleven 10 + Europa League 06-07    ,PS2,0.21,N/A,N/A,0.21,N/A
Shrek: Reekin' Havoc    ,GBA,0.21,0.15,0.06,N/A,0.00
Champion Jockey: G1 Jockey & Gallop Racer    ,PS3,0.21,0.06,0.05,0.08,0.02
Way of the Samurai 3    ,X360,0.21,0.12,0.05,0.02,0.02
Tales of Phantasia: Narikiri Dungeon X    ,PSP,0.21,N/A,N/A,0.21,N/A
Barbie: Groom and Glam Pups    ,Wii,0.21,0.18,0.02,N/A,0.02
JSRF: Jet Set Radio Future    ,XB,0.21,0.13,0.04,0.03,0.01
NHL Hitz 20-02    ,GC,0.21,0.16,0.04,N/A,0.01
Devil May Cry HD Collection    ,PS4,0.21,0.10,0.06,0.02,0.03
Greg Hastings Paintball 2    ,X360,0.21,0.19,N/A,N/A,0.01
The Last Airbender    ,Wii,0.21,0.12,0.07,N/A,0.02
NCAA Football 2003    ,GC,0.21,0.16,0.04,N/A,0.01
7 Days to Die    ,PS4,0.21,0.09,0.08,N/A,0.03
Rollcage    ,PS,0.21,0.12,0.08,N/A,0.01
Prison Break: The Conspiracy    ,X360,0.21,0.07,0.11,N/A,0.02
Final Fantasy Fables: Chocobo's Dungeon    ,Wii,0.21,0.09,0.00,0.11,0.01
Blue Dragon Plus    ,DS,0.21,0.12,0.03,0.05,0.01
StokEd    ,X360,0.21,0.18,0.01,N/A,0.02
ESPN Winter X Games: Snowboarding 2002    ,PS2,0.21,0.10,0.08,N/A,0.03
Zone of the Enders HD Collection    ,X360,0.21,0.15,0.03,0.01,0.02
Project: Snowblind    ,PS2,0.21,0.10,0.08,N/A,0.03
Dynasty Warriors 8: Empires    ,PS4,0.21,0.07,0.07,0.04,0.03
Super Robot Taisen K    ,DS,0.21,N/A,N/A,0.21,N/A
You Don't Know Jack    ,X360,0.21,0.19,N/A,N/A,0.02
Dragon's Dogma: Dark Arisen    ,PS4,0.21,0.07,0.07,0.03,0.03
Mortal Kombat: Special Forces    ,PS,0.21,0.12,0.08,N/A,0.01
Tony Hawk's Motion    ,DS,0.21,0.19,0.00,N/A,0.02
Kan Colle Kai    ,PSV,0.21,N/A,N/A,0.21,N/A
NCAA March Madness 07    ,X360,0.21,0.19,N/A,N/A,0.02
Plants vs. Zombies    ,PS3,0.21,0.18,N/A,N/A,0.03
Shin Megami Tensei: Persona 3 (jp sales)    ,PS2,0.21,N/A,N/A,0.21,N/A
NBA Live 18    ,XOne,0.21,0.18,N/A,N/A,0.02
Evil Dead: Regeneration    ,PS2,0.21,0.10,0.08,N/A,0.03
Street Fighter x Tekken    ,PSV,0.21,0.10,0.05,0.01,0.04
The Lord of the Rings: War in the North    ,PC,0.21,0.07,0.11,N/A,0.03
Disney's Planes    ,WiiU,0.21,0.14,0.04,N/A,0.02
Wacky Races: Crash & Dash    ,DS,0.21,0.19,0.00,N/A,0.01
theHunter: Call of the Wild    ,XOne,0.21,0.18,N/A,N/A,0.02
NCAA Football 10    ,PSP,0.21,0.19,N/A,N/A,0.02
Dead to Rights: Retribution    ,X360,0.21,0.11,0.08,0.00,0.02
The Naked Brothers Band: The Video Game    ,Wii,0.21,0.19,N/A,N/A,0.01
NHL 2003    ,XB,0.21,0.15,0.04,N/A,0.01
Tenchu: Shadow Assassins    ,Wii,0.21,0.15,0.01,0.03,0.01
X-Men: Children of the Atom    ,SAT,0.21,N/A,N/A,0.21,N/A
Tiger Woods PGA Tour    ,PSP,0.21,0.19,N/A,N/A,0.02
NHL 2K3    ,PS2,0.21,0.10,0.08,N/A,0.03
Yarudora Series Vol. 2: Kisetsu wo Dakishimete    ,PS,0.21,N/A,N/A,0.19,0.01
Heisei Kyouiku linkai DS    ,DS,0.21,N/A,N/A,0.21,N/A
Discovery Kids: Pony Paradise    ,DS,0.21,0.19,N/A,N/A,0.01
SpongeBob SquarePants: Game Boy Advance Video Volume 3    ,GBA,0.21,0.15,0.05,N/A,0.00
Pro Yakyuu Spirits 2010    ,PS3,0.21,N/A,N/A,0.21,N/A
Final Fight One    ,GBA,0.21,0.09,0.03,0.08,0.00
Gallop Racer 2003: A New Breed    ,PS2,0.21,0.04,0.03,0.12,0.01
BeyBlade VForce: Super Tournament Battle    ,GC,0.21,0.16,0.04,N/A,0.01
Outlaw Golf 2    ,XB,0.21,0.15,0.04,N/A,0.01
LBX: Little Battlers eXperience    ,3DS,0.21,N/A,N/A,0.21,N/A
J-League Pro Soccer Club o Tsukurou! 7 Euro Plus    ,PSP,0.21,N/A,N/A,0.21,N/A
Bugs Bunny & Taz: Time Busters    ,PS,0.21,0.11,0.08,N/A,0.01
Dragon Ball Z: Sagas    ,GC,0.21,0.16,0.04,N/A,0.01
Jikkyou Powerful Pro Yakyuu 2012    ,PS3,0.21,N/A,N/A,0.21,N/A
Wedding Dash    ,DS,0.21,0.19,N/A,N/A,0.01
X2: Wolverine's Revenge    ,XB,0.21,0.15,0.04,N/A,0.01
Power Rangers: Wild Force    ,GBA,0.21,0.15,0.05,N/A,0.00
Dragon Quest Monsters: Joker 3 - Professional    ,3DS,0.20,N/A,N/A,0.20,N/A
Mary-Kate and Ashley: Girls Night Out    ,GBA,0.20,0.15,0.05,N/A,0.00
The King of Fighters '95    ,NG,0.20,N/A,N/A,0.20,N/A
Castlevania: Lords of Shadow 2    ,PS3,0.20,0.03,0.13,0.02,0.03
LEGO Harry Potter: Years 5-7    ,PSV,0.20,0.07,0.09,N/A,0.04
Kingdom Hearts: The Story So Far    ,PS4,0.20,0.17,N/A,N/A,0.04
"Warhammer 40,000: Space Marine    ",PC,0.20,0.09,0.09,N/A,0.03
Beyblade G-Revolution    ,GBA,0.20,0.15,0.05,N/A,0.00
Jillian Michaels' Fitness Adventure    ,X360,0.20,0.17,0.02,N/A,0.02
Disney Art Academy    ,3DS,0.20,0.04,0.06,0.10,0.01
Trade & Battle: Card Hero    ,GB,0.20,N/A,N/A,0.20,0.00
EVE Online    ,PC,0.20,N/A,0.19,N/A,0.01
World Championship Cards    ,PSP,0.20,0.19,N/A,N/A,0.02
Code of Princess    ,3DS,0.20,0.16,N/A,0.03,0.02
Capcom Fighting Evolution    ,PS2,0.20,0.10,0.08,N/A,0.03
Mobile Suit Gundam: Crossfire    ,PS3,0.20,0.06,0.00,0.14,0.01
Godzilla (2015)    ,PS4,0.20,0.11,0.03,0.03,0.03
SD Gundam GNext    ,SNES,0.20,N/A,N/A,0.20,N/A
Backyard NFL Football 2006    ,PS2,0.20,0.10,0.08,N/A,0.03
Thrillville    ,PSP,0.20,0.18,0.00,N/A,0.02
NASCAR Heat 2002    ,XB,0.20,0.15,0.04,N/A,0.01
Sloane to MacHale no Nazo no Monogatari    ,DS,0.20,N/A,N/A,0.20,N/A
Sengoku Basara 2 Heroes    ,PS2,0.20,N/A,N/A,0.20,N/A
Buzz! The Schools Quiz    ,PS2,0.20,N/A,0.02,N/A,0.19
