title,link,platform,release_date,meta_score,user_score,developer,publisher,genre,esrb_rating
Etherlords II,/game/pc/etherlords-ii,PC,30-Sep-03,78,7.6,Nival Interactive,Strategy First,"Strategy, Turn-Based, Fantasy, General, Fantasy",T
Ace Combat: Assault Horizon,/game/xbox-360/ace-combat-assault-horizon,Xbox 360,11-Oct-11,78,6.2,Project Aces,Namco Bandai Games,"Action, Simulation, Flight, Flight, Combat",T
Good Job!,/game/switch/good-job!,Switch,26-Mar-20,78,7.7,"Nintendo, Paladin Studios",Nintendo,"Action, General",E
Samurai Gunn,/game/pc/samurai-gunn,PC,10-Dec-13,78,7.7,Beau Blyth,Maxistentialism,"General, Action, General",NA
The Walking Dead: 400 Days,/game/pc/the-walking-dead-400-days,PC,3-Jul-13,78,7.6,Telltale Games,Telltale Games,"Action, Miscellaneous, Adventure, General, Compilation, Point-and-Click",M
Trials Rising,/game/switch/trials-rising,Switch,26-Feb-19,78,7.7,RedLynx,Ubisoft,"Racing, Arcade, Automobile",T
WWE SmackDown vs. Raw 2009,/game/playstation-2/wwe-smackdown-vs-raw-2009,PlayStation 2,9-Nov-08,78,7.2,Yuke's,THQ,"Action, Fighting, Wrestling",T
El Shaddai: Ascension of the Metatron,/game/playstation-3/el-shaddai-ascension-of-the-metatron,PlayStation 3,16-Aug-11,78,7.6,Ignition Entertainment,Ignition Entertainment,"Action, Action Adventure, General, Fantasy, General, Fantasy",T
Ghostbusters: The Video Game,/game/playstation-3/ghostbusters-the-video-game,PlayStation 3,16-Jun-09,78,7.9,Terminal Reality,Atari,"Action, General, General",T
New Super Mario Bros. 2,/game/3ds/new-super-mario-bros-2,3DS,19-Aug-12,78,7.2,Nintendo,Nintendo,"Action, Platformer, Platformer, 2D, 2D",E
DeathSpank: Thongs of Virtue,/game/pc/deathspank-thongs-of-virtue,PC,30-Nov-10,78,7.5,Hothead Games,Electronic Arts,"Role-Playing, Action RPG, Action RPG",T
Tabula Rasa,/game/pc/tabula-rasa,PC,30-Oct-07,78,7.7,NCSOFT,NCSOFT,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi",T
Oxenfree,/game/xbox-one/oxenfree,Xbox One,15-Jan-16,78,7.6,Night School Studio,Night School Studio,"Action Adventure, Adventure, General",T
NFL Street 2,/game/xbox/nfl-street-2,Xbox,22-Dec-04,78,6.6,EA Tiburon,EA Sports Big,"Sports, Traditional, Football, Arcade",E
Dead Rising 3,/game/xbox-one/dead-rising-3,Xbox One,22-Nov-13,78,6.9,Capcom Vancouver,Microsoft Game Studios,"General, Action, Action Adventure, General, Open-World",M
Tales From The Borderlands: Episode 4 - Escape Plan Bravo,/game/playstation-4/tales-from-the-borderlands-episode-4---escape-plan-bravo,PlayStation 4,18-Aug-15,78,7.7,Telltale Games,Telltale Games,"Adventure, General",M
Mount & Blade: Warband,/game/pc/mount-blade-warband,PC,30-Mar-10,78,8.8,Taleworlds Entertainment,Paradox Interactive,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",T
Nancy Drew: The Ransom of the Seven Ships,/game/pc/nancy-drew-the-ransom-of-the-seven-ships,PC,14-Jul-09,78,7.4,Her Interactive,Her Interactive,"Adventure, 3D, First-Person, Modern",E
Madden NFL 08,/game/playstation-2/madden-nfl-08,PlayStation 2,14-Aug-07,78,8.5,EA Tiburon,EA Sports,"Sports, Traditional, Football, Sim",E
Tom Clancy's Splinter Cell Double Agent,/game/playstation-3/tom-clancys-splinter-cell-double-agent,PlayStation 3,30-Mar-07,78,6.4,Ubisoft Shanghai,Ubisoft,"Action Adventure, Modern, General, Modern",M
LEGO Star Wars,/game/playstation-2/lego-star-wars,PlayStation 2,2-Apr-05,78,6.6,Traveller's Tales,Eidos Interactive,"Action Adventure, Sci-Fi",E
RiME,/game/pc/rime,PC,26-May-17,78,7.2,"Tequila Works, QLOC",Tequila Works,"Action, Adventure, General, 3D, Third-Person",E10+
Alien Hominid,/game/playstation-2/alien-hominid,PlayStation 2,21-Nov-04,78,8.3,The Behemoth,O3 Entertainment,"Action, Shooter, Scrolling",T
Grand Slam Tennis,/game/wii/grand-slam-tennis,Wii,8-Jun-09,78,7.4,EA Canada,Electronic Arts,"Sports, Traditional, Individual, Tennis, Tennis",E
Switchball,/game/xbox-360/switchball,Xbox 360,7-Nov-07,78,7.2,Atomic Elbow,Sierra Online,"Miscellaneous, Puzzle, Action, Puzzle, General, General",E
Wario Land: Shake It!,/game/wii/wario-land-shake-it!,Wii,22-Sep-08,78,8.5,Good-Feel,Nintendo,"Action, Platformer, Platformer, 2D, 2D",E
Star Wars Republic Commando,/game/xbox/star-wars-republic-commando,Xbox,28-Feb-05,78,8.6,LucasArts,LucasArts,"Action, Shooter, First-Person, Sci-Fi",T
The Awesome Adventures of Captain Spirit,/game/xbox-one/the-awesome-adventures-of-captain-spirit,Xbox One,26-Jun-18,78,7.8,DONTNOD Entertainment,Square Enix,"Action Adventure, General",NA
Hue,/game/xbox-one/hue,Xbox One,30-Aug-16,78,7.4,Fiddlesticks Games,Curve Digital,"Puzzle, Action",E
Ibb & Obb,/game/playstation-3/ibb-obb,PlayStation 3,6-Aug-13,78,7.9,Sparpweed,Sparpweed,"Miscellaneous, Puzzle, Action, General, General",E
Deadlight,/game/pc/deadlight,PC,25-Oct-12,78,7.4,Tequila Works,Microsoft Game Studios,"Action, General, Platformer, Platformer, 2D, 2D",M
Fallout 3: The Pitt,/game/pc/fallout-3-the-pitt,PC,24-Mar-09,78,6.8,Bethesda Game Studios,Bethesda Softworks,"Role-Playing, First-Person, First-Person, Western-Style",M
Samurai Shodown,/game/xbox-one/samurai-shodown,Xbox One,25-Jun-19,78,7.1,SNK Corporation,SNK Corporation,"Action, Fighting, 2D",M
Far Cry 5,/game/pc/far-cry-5,PC,27-Mar-18,78,6.2,Ubisoft Montreal,Ubisoft,"Action, Shooter, First-Person, Arcade",M
LEGO Indiana Jones: The Original Adventures,/game/wii/lego-indiana-jones-the-original-adventures,Wii,3-Jun-08,78,6.8,Traveller's Tales,LucasArts,"Action Adventure, Adventure, General, General",E10+
RIDE 4,/game/xbox-one/ride-4,Xbox One,5-Oct-20,78,4.3,Milestone S.r.l,Milestone S.r.l,"Racing, Simulation, Automobile",NA
Going Under,/game/pc/going-under,PC,24-Sep-20,78,tbd,AggroCrab,Team17,"Action Adventure, General",NA
Pro Evolution Soccer 2014,/game/playstation-3/pro-evolution-soccer-2014,PlayStation 3,24-Sep-13,78,4,Konami,Konami,"Sports, Traditional, Team, Soccer, Sim, Sim",E
Skylanders Giants,/game/wii/skylanders-giants,Wii,21-Oct-12,78,6.8,Toys for Bob,Activision,"Action, Platformer, Platformer, 3D, 3D",E10+
Chibi-Robo! Park Patrol,/game/ds/chibi-robo!-park-patrol,DS,24-Sep-07,78,7.7,Skip Ltd.,Nintendo,"Action Adventure, Fantasy, General, Fantasy",E
SNK 40th Anniversary Collection,/game/switch/snk-40th-anniversary-collection,Switch,13-Nov-18,78,7.7,"Digital Eclipse, SNK",NIS America,"Miscellaneous, Compilation",T
Creature in the Well,/game/xbox-one/creature-in-the-well,Xbox One,6-Sep-19,78,5.9,Flight School Studio,Flight School Studio,"Action Adventure, General",E
Dead Space 3,/game/xbox-360/dead-space-3,Xbox 360,5-Feb-13,78,6.4,Visceral Games,Electronic Arts,"Action, Action Adventure, Shooter, Shooter, Linear, Third-Person, Sci-Fi, Sci-Fi",M
R.U.S.E.,/game/xbox-360/ruse,Xbox 360,7-Sep-10,78,7.6,Eugen Systems,Ubisoft,"Strategy, Real-Time, Historic, General, Historic",T
Galak-Z: The Dimensional,/game/pc/galak-z-the-dimensional,PC,29-Oct-15,78,6,17-Bit,17-Bit,"Action, Shooter, Shoot-'Em-Up, Vertical",NA
Anomaly: Warzone Earth,/game/playstation-3/anomaly-warzone-earth,PlayStation 3,11-Sep-12,78,7,11 bit studios,11 bit studios,"Action, Strategy, General, Real-Time, Sci-Fi, General",E10+
Boktai 2: Solar Boy Django,/game/game-boy-advance/boktai-2-solar-boy-django,Game Boy Advance,19-Oct-04,78,8.2,KCEJ,Kojima Productions,"Role-Playing, Action RPG",T
ESPN Major League Baseball,/game/xbox/espn-major-league-baseball,Xbox,6-Apr-04,78,7.4,Blue Shift,Sega,"Sports, Traditional, Baseball, Sim",E
Road Rash: Jailbreak,/game/game-boy-advance/road-rash-jailbreak,Game Boy Advance,17-Sep-03,78,8.5,Magic Pockets,Electronic Arts,"Driving, Racing, Motorcycle, Street",T
Iridion II,/game/game-boy-advance/iridion-ii,Game Boy Advance,29-May-03,78,8.3,Shin'en,Majesco Games,"Action, Shooter, Scrolling",E
All-Star Baseball 2004,/game/playstation-2/all-star-baseball-2004,PlayStation 2,1-Mar-03,78,7.5,Acclaim Studios Austin,Acclaim,"Sports, Traditional, Baseball, Sim",E
Austerlitz: Napoleon's Greatest Victory,/game/pc/austerlitz-napoleons-greatest-victory,PC,10-Jul-02,78,6.3,BreakAway Games,Shrapnel Games,"Strategy, Wargame, Real-Time, Real-Time",T
Dropship: United Peace Force,/game/playstation-2/dropship-united-peace-force,PlayStation 2,29-May-02,78,8.6,SCEE,Bam Entertainment,"Simulation, Sci-Fi, Futuristic Jet",T
MotoGP 2,/game/playstation-2/motogp-2,PlayStation 2,22-Jan-02,78,7.5,Namco,Namco,"Driving, Racing, Motorcycle, Street",E
Luigi's Mansion,/game/gamecube/luigis-mansion,GameCube,17-Nov-01,78,8.6,Nintendo,Nintendo,"Action Adventure, Fantasy",E
Desperados: Wanted Dead or Alive,/game/pc/desperados-wanted-dead-or-alive,PC,23-Jul-01,78,8.9,Spellbound,Infogrames,"Strategy, General, General",T
Mars Matrix,/game/dreamcast/mars-matrix,Dreamcast,30-Apr-01,78,7.5,Takumi Corporation,Capcom,"Action, General",E
Zone of the Enders,/game/playstation-2/zone-of-the-enders,PlayStation 2,26-Mar-01,78,7.3,KCEJ,Konami,"Simulation, Sci-Fi, Mech",M
Dirt Track Racing: Sprint Cars,/game/pc/dirt-track-racing-sprint-cars,PC,19-Oct-00,78,8.3,Ratbag,WizardWorks,"Driving, Racing, Simulation, Stock Car, Stock Car, Automobile",E
Star Trek: Bridge Crew,/game/pc/star-trek-bridge-crew,PC,30-May-17,78,7.6,"Ubisoft, Red Storm Entertainment",Ubisoft,"Action Adventure, General",E10+
Alice in Wonderland,/game/ds/alice-in-wonderland,DS,2-Mar-10,78,7.9,Etranges Libellules,Disney Interactive Studios,"Action, Action Adventure, General, General, Fantasy",E10+
Eastshade,/game/pc/eastshade,PC,13-Feb-19,78,8,Eastshade Studios,Eastshade Studios,"Adventure, 3D, First-Person",NA
Hyrule Warriors: Definitive Edition,/game/switch/hyrule-warriors-definitive-edition,Switch,18-May-18,78,8,Koei Tecmo Games,Nintendo,"Action, Beat-'Em-Up, 3D",T
The Walking Dead: The Telltale Series - The Final Season,/game/playstation-4/the-walking-dead-the-telltale-series---the-final-season,PlayStation 4,14-Aug-18,78,8.1,Telltale Games,Telltale Games,"Adventure, Point-and-Click",M
Ridge Racer 7,/game/playstation-3/ridge-racer-7,PlayStation 3,13-Nov-06,78,7.3,Namco Bandai Games,Namco Bandai Games,"Driving, Racing, Arcade, Arcade, Automobile",E
EA SPORTS UFC 4,/game/playstation-4/ea-sports-ufc-4,PlayStation 4,14-Aug-20,78,1.5,Electronic Arts,Electronic Arts,"Sports, Individual, Combat, Boxing / Martial Arts",T
Crash Bandicoot N. Sane Trilogy,/game/switch/crash-bandicoot-n-sane-trilogy,Switch,29-Jun-18,78,8.2,"Vicarious Visions, Toys for Bob",Activision,"Miscellaneous, Compilation",E10+
ABZU,/game/playstation-4/abzu,PlayStation 4,2-Aug-16,78,7.6,Giant Squid,505 Games,"Fantasy, Action Adventure, Adventure, General, 3D, Third-Person",E
Bad Apple Wars,/game/playstation-vita/bad-apple-wars,PlayStation Vita,13-Oct-17,78,7.3,Otomate,Aksys Games,"Adventure, Visual Novel",T
Toki Tori 2 +,/game/playstation-4/toki-tori-2-+,PlayStation 4,23-Feb-16,78,5.6,Two Tribes,Two Tribes,"Puzzle, Action",E
Joe Dever's Lone Wolf HD Remastered,/game/pc/joe-devers-lone-wolf-hd-remastered,PC,27-Nov-14,78,6.8,Forge Reply,505 Games,"Action, Adventure, General",NA
Every Extend Extra Extreme,/game/xbox-360/every-extend-extra-extreme,Xbox 360,17-Oct-07,78,7.2,Cyclone Zero,Q Entertainment,"Action, Shooter, Shooter, Static, Static, Shoot-'Em-Up, Top-Down",E
Life is Strange: Before the Storm - Episode 1: Awake,/game/playstation-4/life-is-strange-before-the-storm---episode-1-awake,PlayStation 4,31-Aug-17,78,7.5,Deck Nine Games,Square Enix,"Action Adventure, General",M
Tropico 4,/game/pc/tropico-4,PC,30-Aug-11,78,7.7,"Haemimont, Haemimont Games",Kalypso,"Strategy, Tycoon, Management, Tycoon, Government",T
PGA Tour 2K21,/game/xbox-one/pga-tour-2k21,Xbox One,21-Aug-20,78,6.2,HB Studios Multimedia,2K Games,"Sports, Individual, Golf, Sim",E
Call of Duty: Infinite Warfare,/game/xbox-one/call-of-duty-infinite-warfare,Xbox One,4-Nov-16,78,3.7,Infinity Ward,Activision,"Action, Shooter, First-Person, Tactical",M
EVERSPACE: Stellar Edition,/game/switch/everspace-stellar-edition,Switch,11-Dec-18,78,7.9,ROCKFISH Games,ROCKFISH Games,"Simulation, Action Adventure, Space, Open-World, Combat",T
Starlink: Battle for Atlas,/game/xbox-one/starlink-battle-for-atlas,Xbox One,16-Oct-18,78,6.6,Ubisoft Toronto,Ubisoft,"Simulation, Space, Combat",E10+
Ironcast,/game/xbox-one/ironcast,Xbox One,4-Mar-16,78,tbd,Dreadbit,Ripstone,"Puzzle, Matching",E10+
AR-K Episode 3: The Great Escape,/game/pc/ar-k-episode-3-the-great-escape,PC,14-Jul-15,78,7.8,Gato Salvaje Studio,Gato Salvaje Studio,"Adventure, General",NA
World Class Poker with T.J. Cloutier,/game/pc/world-class-poker-with-tj-cloutier,PC,22-Aug-05,78,6.7,Masque Publishing,Masque Publishing,"Miscellaneous, Parlor, Gambling, Gambling",T
Puzzle Quest: Challenge of the Warlords,/game/playstation-2/puzzle-quest-challenge-of-the-warlords,PlayStation 2,13-Nov-07,78,7,Infinite Interactive,D3,"Miscellaneous, Puzzle, Puzzle, Matching",E10+
Tales From The Borderlands: Episode 2 - Atlas Mugged,/game/pc/tales-from-the-borderlands-episode-2---atlas-mugged,PC,17-Mar-15,78,8.6,Telltale Games,Telltale Games,"Adventure, General",M
Injustice: Gods Among Us,/game/playstation-3/injustice-gods-among-us,PlayStation 3,16-Apr-13,78,7.9,NetherRealm Studios,Warner Bros. Interactive Entertainment,"Action, Fighting, Fighting, 2D, 2D",T
Star Wars: Squadrons,/game/xbox-one/star-wars-squadrons,Xbox One,2-Oct-20,78,5,Motive Studios,Electronic Arts,"Simulation, Space, Combat",T
The Count Lucanor,/game/pc/the-count-lucanor,PC,3-Mar-16,78,7.5,Baroque Decay,Baroque Decay,"Action Adventure, General",NA
Five Nights at Freddy's,/game/pc/five-nights-at-freddys,PC,8-Aug-14,78,7.3,animdude,Scott Cawthon,"Action Adventure, Adventure, General, Survival",NA
Baseball Mogul 2007,/game/pc/baseball-mogul-2007,PC,12-Apr-06,78,6.9,Sports Mogul,Enlight Software,"Sports, Traditional, Team, Baseball, Management, Management, Sim",E
Outlast,/game/playstation-4/outlast,PlayStation 4,4-Feb-14,78,7.8,Red Barrels,Red Barrels,"Horror, Action Adventure, Horror, Survival",M
NASCAR 06: Total Team Control,/game/playstation-2/nascar-06-total-team-control,PlayStation 2,30-Aug-05,78,7.6,EA Sports,EA Sports,"Driving, Racing, Stock Car",E
Pac-Man Championship Edition 2,/game/pc/pac-man-championship-edition-2,PC,13-Sep-16,78,7,Bandai Namco Games,Bandai Namco Games,"Action, Arcade",E
Call of Duty: Black Ops III - Zombies Chronicles,/game/playstation-4/call-of-duty-black-ops-iii---zombies-chronicles,PlayStation 4,16-May-17,78,6.5,Treyarch,Activision,"Action, Shooter, First-Person, Arcade",M
Crashlands,/game/pc/crashlands,PC,21-Jan-16,78,7.7,Butterscotch Shenanigans,Butterscotch Shenanigans,"Role-Playing, Action RPG",NA
Iratus: Lord of the Dead,/game/pc/iratus-lord-of-the-dead,PC,23-Apr-20,78,6.6,Unfrozen,Unfrozen,"Role-Playing, Roguelike",NA
King's Bounty: Crossworlds,/game/pc/kings-bounty-crossworlds,PC,17-Sep-10,78,8.5,Katauri Interactive,1C,"Strategy, Turn-Based, Fantasy, General, Fantasy",T
Everybody's Gone to the Rapture,/game/playstation-4/everybodys-gone-to-the-rapture,PlayStation 4,11-Aug-15,78,6.5,The Chinese Room,SCEA,"Action, General, General, Adventure, 3D, First-Person",M
Horizon Chase Turbo,/game/playstation-4/horizon-chase-turbo,PlayStation 4,15-May-18,78,7.7,Aquiris Game Studio,Aquiris Game Studio,"Racing, Arcade, Automobile",E
Offworld Trading Company,/game/pc/offworld-trading-company,PC,28-Apr-16,78,7.4,Mohawk Games,Stardock,"Strategy, Real-Time, General, Management, Business / Tycoon",NA
Dawn of Discovery: Venice,/game/pc/dawn-of-discovery-venice,PC,26-Feb-10,78,7.9,Related Designs,Ubisoft,"Simulation, General, General",T
EyeToy: Play 2,/game/playstation-2/eyetoy-play-2,PlayStation 2,16-Aug-05,78,6.9,SCEE,SCEA,"Miscellaneous, General",E10+
Destiny 2: Shadowkeep,/game/pc/destiny-2-shadowkeep,PC,1-Oct-19,78,5.6,Bungie,Activision,"Action, Shooter, First-Person, Arcade",T
Pro Evolution Soccer 2010,/game/xbox-360/pro-evolution-soccer-2010,Xbox 360,3-Nov-09,78,7.6,Konami,Konami,"Sports, Traditional, Team, Soccer, Sim, Sim",E
Mega Man 10,/game/playstation-3/mega-man-10,PlayStation 3,11-Mar-10,78,8.1,Inti Creates,Capcom,"Action, Platformer, Platformer, 2D, 2D",E
Inmost,/game/switch/inmost,Switch,21-Aug-20,78,7.7,Hidden Layer Games,Chucklefish,"Action, Platformer, 3D",NA
Atomicrops,/game/pc/atomicrops,PC,28-May-20,78,6,"Daniel Wynne, Bird Bath Games",Raw Fury,"Action, Shooter, Shoot-'Em-Up, Top-Down",T
Depixtion,/game/switch/depixtion,Switch,28-Feb-20,78,7.5,"DevHour Games, LLC","DevHour Games, LLC","Puzzle, Logic",E
Age of Wonders: Planetfall,/game/playstation-4/age-of-wonders-planetfall,PlayStation 4,6-Aug-19,78,6.7,Triumph Studios,Paradox Interactive,"Strategy, Turn-Based, General",T
Legendary Gary,/game/pc/legendary-gary,PC,20-Feb-18,78,tbd,Evan Rogers,Evan Rogers,"Strategy, Turn-Based, General",NA
Everybody's Golf,/game/playstation-4/everybodys-golf,PlayStation 4,29-Aug-17,78,7.6,"SCEI, Clap Hanz",SCEA,"Traditional, Sports, Individual, Golf, Arcade",E
Shadows of Adam,/game/pc/shadows-of-adam,PC,23-Feb-17,78,6.9,Something Classic Games LLC,Something Classic Games LLC,"Role-Playing, Japanese-Style",NA
Flywrench,/game/playstation-4/flywrench,PlayStation 4,14-Feb-17,78,3.5,Messhof,Messhof,"Action, General",E
Style Savvy: Fashion Forward,/game/3ds/style-savvy-fashion-forward,3DS,19-Aug-16,78,6.9,syn Sophia,Nintendo,"Simulation, Virtual, Career",E
Dungelot: Shattered Lands,/game/pc/dungelot-shattered-lands,PC,18-Feb-16,78,6.8,"Red Winter Software Limited, Red Winter Software",tinyBuild,"Role-Playing, Strategy, Turn-Based, General, Tactics",NA
Dying Light: The Following,/game/playstation-4/dying-light-the-following,PlayStation 4,9-Feb-16,78,8,Techland,Warner Bros. Interactive Entertainment,"Action Adventure, Survival",M
Teslagrad,/game/playstation-4/teslagrad,PlayStation 4,14-Apr-15,78,6.8,Rain Games,Rain Games,"Action, Platformer, 2D",E
The Walking Dead: Season Two Episode 4 - Amid the Ruins,/game/playstation-3/the-walking-dead-season-two-episode-4---amid-the-ruins,PlayStation 3,22-Jul-14,78,7.9,Telltale Games,Telltale Games,"General, Action, Adventure, General, Point-and-Click",M
Battlefield 3: End Game,/game/pc/battlefield-3-end-game,PC,26-Mar-13,78,7.4,EA DICE,Electronic Arts,"Action, Shooter, Shooter, First-Person, Modern, Tactical, Modern, Arcade",M
Marvel vs. Capcom Origins,/game/xbox-360/marvel-vs-capcom-origins,Xbox 360,26-Sep-12,78,8.3,Iron Galaxy Studios,Capcom,"Action, Miscellaneous, Fighting, Compilation, 2D",T
Call of Duty: Black Ops - Annihilation,/game/xbox-360/call-of-duty-black-ops---annihilation,Xbox 360,28-Jun-11,78,5,Treyarch,Activision,"Action, Shooter, Shooter, First-Person, Tactical, Historic, Arcade, Historic",M
Ace Attorney Investigations: Miles Edgeworth,/game/ds/ace-attorney-investigations-miles-edgeworth,DS,16-Feb-10,78,8.3,Capcom,Capcom,"Adventure, General, General, Visual Novel",T
Top Spin 3,/game/xbox-360/top-spin-3,Xbox 360,23-Jun-08,78,7.7,Pam Development,Pam Development,"Sports, Traditional, Individual, Tennis, Tennis",E
Fire Pro Wrestling Returns,/game/playstation-2/fire-pro-wrestling-returns,PlayStation 2,13-Nov-07,78,8.6,S-Neo,Agetec Inc.,"Action, Fighting, Wrestling",T
NCAA March Madness 2005,/game/playstation-2/ncaa-march-madness-2005,PlayStation 2,17-Nov-04,78,8.3,EA Canada,EA Sports,"Sports, Traditional, Basketball, Sim",E
Pac-Man vs.,/game/gamecube/pac-man-vs,GameCube,2-Dec-03,78,8.3,Nintendo,Namco,"Miscellaneous, Puzzle, General",E
World Tour Soccer 2003,/game/playstation-2/world-tour-soccer-2003,PlayStation 2,10-Feb-03,78,8,SCEE London Studio,SCEA,"Sports, Traditional, Soccer, Sim",E
Crash Bandicoot: The Huge Adventure,/game/game-boy-advance/crash-bandicoot-the-huge-adventure,Game Boy Advance,25-Feb-02,78,8,Vicarious Visions,Universal Interactive,"Action, Platformer, 2D",E
Amped: Freestyle Snowboarding,/game/xbox/amped-freestyle-snowboarding,Xbox,19-Nov-01,78,8.3,Indie Built,Microsoft Game Studios,"Sports, Alternative, Snowboarding",E
Dave Mirra Freestyle BMX 2,/game/gamecube/dave-mirra-freestyle-bmx-2,GameCube,17-Nov-01,78,8.5,"Z-Axis, Ltd.",Acclaim,"Sports, Alternative, Biking",T
Tony Hawk's Pro Skater 2x,/game/xbox/tony-hawks-pro-skater-2x,Xbox,14-Nov-01,78,7.9,Treyarch,Activision,"Sports, Alternative, Skateboarding",T
NHL FaceOff 2001,/game/playstation/nhl-faceoff-2001,PlayStation,5-Sep-00,78,tbd,SolWorks,SCEA,"Sports, Traditional, Ice Hockey, Sim",E
Castlevania,/game/nintendo-64/castlevania,Nintendo 64,31-Dec-98,78,7.1,KCEK,Konami,"Action, Platformer, 3D",T
Titan Quest,/game/pc/titan-quest,PC,26-Jun-06,77,8.1,Iron Lore Entertainment,THQ,"Role-Playing, Action RPG, Action RPG",T
Call of Duty 2: Big Red One,/game/playstation-2/call-of-duty-2-big-red-one,PlayStation 2,1-Nov-05,77,8.1,Treyarch,Activision,"Action, Shooter, First-Person, Historic",T
Tom Clancy's Ghost Recon: Shadow Wars,/game/3ds/tom-clancys-ghost-recon-shadow-wars,3DS,22-Mar-11,77,7.9,Ubisoft,Ubisoft,"Action, Strategy, Shooter, Turn-Based, General, Modern, Modern, First-Person, Tactical, Modern",T
Plants vs. Zombies: Battle for Neighborville,/game/playstation-4/plants-vs-zombies-battle-for-neighborville,PlayStation 4,18-Oct-19,77,5.6,PopCap,Electronic Arts,"Action, Shooter, Third-Person, Tactical",E10+
Deathtrap,/game/pc/deathtrap,PC,4-Feb-15,77,7.6,NeocoreGames,NeocoreGames,"Strategy, General",T
Yomawari: Midnight Shadows,/game/playstation-4/yomawari-midnight-shadows,PlayStation 4,24-Oct-17,77,7,Nippon Ichi Software,NIS America,"Action Adventure, Survival",M
Excitebots: Trick Racing,/game/wii/excitebots-trick-racing,Wii,20-Apr-09,77,8.7,Monster Games Inc.,Nintendo,"Driving, Racing, General, Arcade, Arcade, Automobile",E
Kokuga,/game/3ds/kokuga,3DS,27-Jun-13,77,7.5,G.Rev,G.Rev,"Action, Shooter, Shooter, Scrolling, Scrolling, Shoot-'Em-Up, Top-Down",E
Spider-Man: Web of Shadows,/game/ds/spider-man-web-of-shadows,DS,21-Oct-08,77,7.1,Griptonite Games,Activision,"Action, Platformer, General, 2D",E10+
The Missing: JJ Macfield and the Island of Memories,/game/playstation-4/the-missing-jj-macfield-and-the-island-of-memories,PlayStation 4,15-Oct-18,77,6.9,White Owls,Arc System Works,"Action, General",M
Galactic Civilizations: Altarian Prophecy,/game/pc/galactic-civilizations-altarian-prophecy,PC,12-Nov-04,77,6.9,Stardock,Strategy First,"Strategy, Turn-Based, Real-Time, Sci-Fi, 4X",E
art of rally,/game/pc/art-of-rally,PC,23-Sep-20,77,7.6,Funselektor Labs Inc.,Funselektor Labs Inc.,"Racing, Arcade, Automobile",NA
Graceful Explosion Machine,/game/switch/graceful-explosion-machine,Switch,6-Apr-17,77,7.9,Vertex Pop,Vertex Pop,"Action, Shooter, Shoot-'Em-Up, Horizontal",E
UEFA EURO 2008,/game/playstation-2/uefa-euro-2008,PlayStation 2,19-May-08,77,4.6,EA Canada,Electronic Arts,"Sports, Traditional, Soccer, Sim",E
Pop Island,/game/ds/pop-island,DS,7-Dec-09,77,7.8,odenis studio,odenis studio,"Action, General, General",E
NBA Live 06,/game/playstation-2/nba-live-06,PlayStation 2,26-Sep-05,77,7.1,EA Canada,EA Sports,"Sports, Traditional, Basketball, Sim",E
Republique: Episode 1 - Exordium,/game/pc/republique-episode-1---exordium,PC,25-Feb-15,77,7.5,"Camouflaj, LLC",GungHo,"Action Adventure, Linear",NA
Prince of Persia: The Forgotten Sands,/game/wii/prince-of-persia-the-forgotten-sands,Wii,18-May-10,77,8.2,Ubisoft Quebec,Ubisoft,"Action Adventure, Fantasy, General, Fantasy",T
Mega Man Legacy Collection,/game/3ds/mega-man-legacy-collection,3DS,23-Feb-16,77,8.6,Digital Eclipse,Capcom,"Miscellaneous, Compilation",E
Mutant Storm Reloaded,/game/xbox-360/mutant-storm-reloaded,Xbox 360,22-Nov-05,77,7.2,PomPom Games,PomPom Games,"Action, Shooter, Shooter, Static, Static, Shoot-'Em-Up, Top-Down",E
Mortal Kombat: Armageddon,/game/xbox/mortal-kombat-armageddon,Xbox,11-Oct-06,77,8.2,Midway,Midway,"Action, Fighting, 3D",M
NFL Street 2,/game/gamecube/nfl-street-2,GameCube,22-Dec-04,77,7.6,EA Tiburon,EA Sports Big,"Sports, Traditional, Football, Arcade",E
Vacation Simulator,/game/pc/vacation-simulator,PC,9-Apr-19,77,5.7,Owlchemy Labs,Owlchemy Labs,"Action, Simulation, General, Virtual, Virtual Life",NA
Nintendo Land,/game/wii-u/nintendo-land,Wii U,18-Nov-12,77,7.9,Nintendo,Nintendo,"Miscellaneous, Party, Party, Party / Minigame",E10+
Sonic Generations,/game/pc/sonic-generations,PC,3-Nov-11,77,8.3,"Sega, Sonic Team",Sega,"Action, Platformer, Platformer, 3D, 3D",E
Shinsekai: Into the Depths,/game/switch/shinsekai-into-the-depths,Switch,26-Mar-20,77,7.9,Capcom,Capcom,"Action, Platformer, 2D",E10+
Elite: Dangerous,/game/playstation-4/elite-dangerous,PlayStation 4,27-Jun-17,77,7,Frontier Developments,Frontier Developments,"Simulation, Space, Civilian",T
Kingdom Hearts HD 1.5 ReMIX,/game/playstation-3/kingdom-hearts-hd-15-remix,PlayStation 3,10-Sep-13,77,8.8,Square Enix,Square Enix,"Miscellaneous, Compilation, Compilation",E10+
